title,titleZh,updated,roundId,roundTitle,roundTitleZh,slot,date,time,court,teamA,teamB,scoreA,scoreB,winner,status,advancesTo
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-1,Week 1,11/9/2026,W1-C1-1,2026-09-11,18:15-19:30,Court 1,Flying Dishwashers,Aiyo watch out,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-1,Week 1,11/9/2026,W1-C1-2,2026-09-11,19:30-20:45,Court 1,Woka Woka,Delay no more,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-1,Week 1,11/9/2026,W1-C2-1,2026-09-11,18:15-19:30,Court 2,Katseye,Nei Low May,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-1,Week 1,11/9/2026,W1-C2-2,2026-09-11,19:30-20:45,Court 2,Balls deep,Cafe Sua Da,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-2,Week 2,18/9/2026,W2-C1-1,2026-09-18,18:15-19:30,Court 1,Katseye,Cafe Sua Da,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-2,Week 2,18/9/2026,W2-C1-2,2026-09-18,19:30-20:45,Court 1,Woka Woka,Balls deep,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-2,Week 2,18/9/2026,W2-C2-1,2026-09-18,18:15-19:30,Court 2,Flying Dishwashers,Nei Low May,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-2,Week 2,18/9/2026,W2-C2-2,2026-09-18,19:30-20:45,Court 2,Delay no more,Aiyo watch out,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-3,Week 3,25/9/2026,W3-C1-1,2026-09-25,18:15-19:30,Court 1,Cafe Sua Da,Nei Low May,,,TBC,Upcoming,League round
Brisbane Magpies Volleyball League Schedule,Brisbane Magpies 排球聯賽行程,2026-09-10,week-3,Week 3,25/9/2026,W3-C1-2,2026-09-25,19:30-20:45,Court 1,Flying Dishwashers,Delay no more,,,TBC,Upcoming,League round
